Shape *,OBJECTID_1,objectid,cenefa_par,mdoulo_par,zona_parad,nombre_par,direccion_,localidad_,consola_pa,panel_para,audio_para,Latitud,Longitud,Nombre_Localidad,Nombre_Zona,Localidad
Point,7121,64408,619A03,A,3,Br. Nueva Tibabuyes,KR 121C - CL 129D,11,KR 121C - CL 129D (619A03),KR 121C - CL 129D,Carrera 121 C Calle 129 D,4.73442,-74.10594,Suba,3,Suba
Point,7122,64409,619A08,A,8,Br. Galán,AC 3 - KR 53D Bis,16,AC 3 - KR 53D Bis (619A08),AC 3 - KR 53D Bis,Avenida Calle Tercera Carrera 53 D Bis,4.618176,-74.118314,Puente Aranda,8,Puente Aranda
Point,7123,64410,619A11,A,11,El Mochuelo Oriental,AV. Boyacá - KR 14Bis A,19,AV. Boyacá - KR 14Bis A (619A11),AV. Boyacá - KR 14Bis A,Avenida Boyacá Carrera 14 Bis A,4.538787,-74.132348,Ciudad Bolivar,11,Ciudad Bolivar
Point,7124,64411,620A01,A,1,Br. Cerros Norte KR 4 Este,KR 4 Este - CL 160A,1,KR 4 Este - CL 160A (620A01),KR 4 Este - CL 160A,Carrera Cuarta Este Calle 160 A,4.728868,-74.015542,Usaquén,1,Usaquén
Point,7125,64412,620A11,A,11,El Mochuelo Oriental,Av. Boyacá - KR 12,19,Av. Boyacá - KR 12 (620A11),Av. Boyacá - KR 12,Avenida Boyacá Carrera 12,4.538535,-74.131215,Ciudad Bolivar,11,Ciudad Bolivar
Point,7126,64413,621A00,A,0, Parkway,AK 19 - AC 34,13,AK 19 - AC 34 (621A00),AK 19 - AC 34,Avenida Carrera 19 Avenida Calle 34,4.624334,-74.073645,Teusaquillo,0,Teusaquillo
Point,7127,64414,621A01,A,1,Br. Multicentro,AK 11 - CL 123,1,AK 11 - CL 123 (621A01),AK 11 - CL 123,Avenida Carrera 11 Calle 123,4.700658,-74.034424,Usaquén,1,Usaquén
Point,7128,64415,621A03,A,3,Portal de la Fontana,KR 11A - CL 152C,11,KR 11A - CL 152C (621A03),KR 11A - CL 152C,Carrera 11 A Calle 152 C,4.756006,-74.097022,Suba,3,Suba
Point,7129,64416,621A09,A,9,Urb. Pastrana,Av. 1 de Mayo - CL 42A Sur,8,Av. 1 de Mayo - CL 42A Sur (621A09),Av. 1 de Mayo - CL 42A Sur,Avenida Primero de Mayo Calle 42 A Sur,4.615496,-74.161009,Kennedy,9,Kennedy
Point,7130,64417,621A11,A,11,Br. Restrepo Occidental,CL 17 Sur- KR 23,15,CL 17 Sur- KR 23 (621A11),CL 17 Sur- KR 23,Calle 17 Sur Carrera 23,4.587914,-74.102936,Antonio Nariño,11,Antonio Nariño
Point,7131,64418,621B09,B,9,Urb. Pastrana,AV. 1 de Mayo - CL 42F Sur,8,AV. 1 de Mayo - CL 42F Sur (621B09),AV. 1 de Mayo - CL 42F Sur,Avenida primero de mayo,4.615385,-74.161496,Kennedy,9,Kennedy
Point,7132,64419,622A00,A,0,Br. Chicó Norte III Sector,DG 92 - TV 17,2,DG 92 - TV 17 (622A00),DG 92 - TV 17,Diagonal 92 Transversal 17,4.683565,-74.050899,Chapinero,0,Chapinero
Point,7133,64420,622A01,A,1,Br. Santa Bárbara Central IV Sector,AK 11 - CL 119,1,AK 11 - CL 119 (622A01),AK 11 - CL 119,Avenida Carrera 11 Calle 119,4.698162,-74.035647,Usaquén,1,Usaquén
Point,7134,64421,622A03,A,3,Br. Rincón de Santa Inés,CL 151B - KR 115,11,CL 151B - KR 115 (622A03),CL 151B - KR 115,Calle 151 Be Carrera 115,4.755311,-74.101999,Suba,3,Suba
Point,7135,64422,622A08,A,8,Urb. Carvajal,KR 69  CL 23 Sur,8,KR 69  CL 23 Sur (622A08),KR 69  CL 23 Sur,Carrera 69 Calle 23 Sur,4.613908,-74.131783,Kennedy,8,Kennedy
